unnamed0,order,pID,msSubclass,msZoning,lotFrontage,lotArea,street,alley,lotShape,landContour,utilities,lotConfig,landSlope,neighborhood,condition1,condition2,bldgType,houseStyle,overallQual,overallCond,yearBuilt,yearRemodAdd,roofStyle,roofMatl,exterior1st,exterior2nd,masVnrType,masVnrArea,exterQual,exterCond,foundation,bsmtQual,bsmtCond,bsmtExposure,bsmtfinType1,bsmtfinSf1,bsmtfinType2,bsmtfinSf2,bsmtUnfSf,totalBsmtSf,heating,heatingQc,centralAir,electrical,1stFlrSf,2ndFlrSf,lowQualFinSf,grLivArea,bsmtFullBath,bsmtHalfBath,fullBath,halfBath,bedroomAbvgr,kitchenAbvgr,kitchenQual,totrmsAbvgrd,functional,fireplaces,fireplaceQu,garageType,garageYrBlt,garageFinish,garageCars,garageArea,garageQual,garageCond,pavedDrive,woodDeckSf,openPorchSf,enclosedPorch,3ssnPorch,screenPorch,poolQc,fence,miscFeature,miscVal,moSold,yrSold,saleType,saleCondition,salePrice,houseAge,yearsSinceRemod,isRemodeled,totalSf,totalBathrooms,totalPorchSf,qualityAreaInt,isPeakSeason,hasPool,hasFireplace,hasGarage
0,1,526301100,3.044522437723423,RL,4.955827057601261,10.366309203003638,Pave,None,2,Lvl,AllPub,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,4.727387818712341,3,3,CBlock,3,4,4,BLQ,6.461468176353717,Unf,0.0,6.091309882077698,1080.0,GasA,2,Y,SBrkr,7.4127640174265625,0.0,0.0,7.4127640174265625,1.0,0.0,1,0,3,0.6931471805599453,3,7,7,2,Gd,Attchd,7.581209826196346,3,2.0,528.0,3,3,1,5.351858133476067,4.143134726391533,0.0,0.0,0.0,0,0.0,None,0.0,5,2010,WD ,Normal,12.278397958261774,50,50,0,1087.4127640174265,2.0,4.143134726391533,44.47658410455938,1,0,1,1
1,2,526350040,3.044522437723423,RH,4.394449154672439,9.360741172643708,Pave,None,3,Lvl,AllPub,Inside,2,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,Rec,6.150602768446279,LwQ,4.976733742420574,5.602118820879701,882.0,GasA,3,Y,SBrkr,6.799055862058796,0.0,0.0,6.799055862058796,0.0,0.0,1,0,2,0.6931471805599453,3,5,7,0,None,Attchd,7.581719640125308,1,1.0,730.0,3,3,2,4.948759890378168,0.0,0.0,0.0,4.795790545596741,0,3.0,None,0.0,6,2010,WD ,Normal,11.561725152903833,49,49,0,888.7990558620588,1.0,4.795790545596741,33.99527931029398,1,0,0,1
2,3,526351010,3.044522437723423,RL,4.406719247264253,9.565774546478782,Pave,None,2,Lvl,AllPub,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,4.6913478822291435,3,3,CBlock,3,3,1,ALQ,6.828712071641684,Unf,0.0,6.008813185442595,1329.0,GasA,3,Y,SBrkr,7.1929342212158,0.0,0.0,7.1929342212158,0.0,0.0,1,1,3,0.6931471805599453,4,6,7,0,None,Attchd,7.580189417944541,1,1.0,312.0,3,3,2,5.976350909297934,3.6109179126442243,0.0,0.0,0.0,0,0.0,Gar2,9.433563920090563,6,2010,WD ,Normal,12.055255569732177,52,52,0,1336.1929342212159,1.5,3.6109179126442243,43.157605327294796,1,0,0,1
3,4,526353030,3.044522437723423,RL,4.543294782270004,9.320180837655714,Pave,None,3,Lvl,AllPub,Corner,2,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,3,CBlock,3,3,1,ALQ,6.97166860472579,Unf,0.0,6.952728644624869,2110.0,GasA,5,Y,SBrkr,7.65491704784832,0.0,0.0,7.65491704784832,1.0,0.0,2,1,3,0.6931471805599453,5,8,7,2,TA,Attchd,7.585281078639126,3,2.0,522.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,None,0.0,4,2010,WD ,Normal,12.404927602627597,42,42,0,2117.6549170478484,3.5,0.0,53.58441933493824,1,0,1,1
4,5,527105010,4.110873864173311,RL,4.31748811353631,9.534667728624708,Pave,None,2,Lvl,AllPub,Inside,2,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,GLQ,6.674561391814426,Unf,0.0,4.927253685157205,928.0,GasA,4,Y,SBrkr,6.834108738813838,6.553933404025811,0.0,7.396335293800808,0.0,0.0,2,1,3,0.6931471805599453,3,6,7,1,TA,Attchd,7.599901959208498,3,2.0,482.0,3,3,2,5.3612921657094255,3.5553480614894135,0.0,0.0,0.0,0,3.0,None,0.0,3,2010,WD ,Normal,12.15425816271595,13,12,1,935.3963352938008,2.5,3.5553480614894135,36.98167646900404,0,0,1,1
5,6,527105030,4.110873864173311,RL,4.3694478524670215,9.208238163884312,Pave,None,2,Lvl,AllPub,Inside,2,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,3.044522437723423,3,3,PConc,3,3,1,GLQ,6.401917196727186,Unf,0.0,5.783825182329737,926.0,GasA,5,Y,SBrkr,6.831953565565855,6.520621127558696,0.0,7.380879035564116,0.0,0.0,2,1,3,0.6931471805599453,4,7,7,1,Gd,Attchd,7.6004023345004,3,2.0,470.0,3,3,2,5.8888779583328805,3.6109179126442243,0.0,0.0,0.0,0,0.0,None,0.0,6,2010,WD ,Normal,12.18332077348399,12,12,0,933.3808790355641,2.5,3.6109179126442243,44.285274213384696,1,0,1,1
6,7,527127150,4.795790545596741,RL,3.7376696182833684,8.501267040865978,Pave,None,3,Lvl,AllPub,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,2,GLQ,6.424869023905388,Unf,0.0,6.583409222158765,1338.0,GasA,5,Y,SBrkr,7.199678345691172,0.0,0.0,7.199678345691172,1.0,0.0,2,0,2,0.6931471805599453,4,6,7,0,None,Attchd,7.601901959875166,3,2.0,582.0,3,3,2,0.0,0.0,5.14166355650266,0.0,0.0,0,0.0,None,0.0,4,2010,WD ,Normal,12.271396795480596,9,9,0,1345.1996783456912,3.0,5.14166355650266,57.59742676552938,1,0,0,1
7,8,527145080,4.795790545596741,RL,3.784189633918261,8.518392471991719,Pave,None,2,HLS,AllPub,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,1,ALQ,5.575949103146316,Unf,0.0,6.925595197110468,1280.0,GasA,5,Y,SBrkr,7.155396301896734,0.0,0.0,7.155396301896734,0.0,0.0,2,0,2,0.6931471805599453,4,5,7,0,None,Attchd,7.597396320212795,2,2.0,506.0,3,3,2,0.0,4.418840607796598,0.0,0.0,4.976733742420574,0,0.0,None,0.0,1,2010,WD ,Normal,12.162648309521318,18,18,0,1287.1553963018966,2.0,9.395574350217172,57.24317041517387,0,0,0,1
8,9,527146030,4.795790545596741,RL,3.6888794541139363,8.592300663903043,Pave,None,2,Lvl,AllPub,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,GLQ,7.074116816197362,Unf,0.0,6.030685260261263,1595.0,GasA,5,Y,SBrkr,7.388327859577107,0.0,0.0,7.388327859577107,1.0,0.0,2,0,2,0.6931471805599453,4,5,7,1,TA,Attchd,7.59890045687141,2,2.0,608.0,3,3,2,5.472270673671475,5.030437921392435,0.0,0.0,0.0,0,0.0,None,0.0,3,2010,WD ,Normal,12.373707715234994,15,14,1,1602.3883278595772,3.0,5.030437921392435,59.10662287661685,0,0,1,1
9,10,527162130,4.110873864173311,RL,4.110873864173311,8.922791623969637,Pave,None,3,Lvl,AllPub,Inside,2,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,Unf,0.0,Unf,0.0,6.902742737158593,994.0,GasA,4,Y,SBrkr,6.9363427358340495,6.655440350367647,0.0,7.498315870766981,0.0,0.0,2,1,3,0.6931471805599453,4,7,7,1,TA,Attchd,7.600902459542082,3,2.0,442.0,3,3,2,4.948759890378168,4.110873864173311,0.0,0.0,0.0,0,0.0,None,0.0,6,2010,WD ,Normal,12.149507585033072,11,11,0,1001.498315870767,2.5,4.110873864173311,52.48821109536887,1,0,1,1
